Year,CIPCODE,CIP Family,CIP Family Name,Tier,Institutions Offering,Total Completions,Male,Female,American Indian/Alaska Native,Asian,Black/African American,Hispanic/Latino,Native Hawaiian/Pacific Islander,White,Two or More Races,Race/Ethnicity Unknown,Nonresident Alien
2021,05.0207,05,"Area, Ethnic & Gender Studies",3,1,1,0,1,0,0,0,0,0,1,0,0,0
2021,05.0207,05,"Area, Ethnic & Gender Studies",4,1,5,2,3,0,1,0,0,0,3,0,0,1
2021,05.0207,05,"Area, Ethnic & Gender Studies",5,4,13,0,13,0,0,2,0,0,10,1,0,0
2021,05.0210,05,"Area, Ethnic & Gender Studies",1,1,2,0,2,0,0,1,0,0,1,0,0,0
2021,05.0299,05,"Area, Ethnic & Gender Studies",4,1,949,229,720,1,23,66,55,1,751,32,8,12
2021,05.0299,05,"Area, Ethnic & Gender Studies",5,2,10,0,10,0,1,2,1,0,5,0,0,1
2021,09.0100,09,Communication & Journalism,1,2,1,0,1,0,0,0,0,0,1,0,0,0
2021,09.0100,09,Communication & Journalism,2,1,1,0,1,0,0,0,0,0,1,0,0,0
2021,09.0100,09,Communication & Journalism,3,1,38,26,12,0,0,2,0,0,36,0,0,0
2021,09.0100,09,Communication & Journalism,4,3,17,7,10,1,1,1,0,0,11,0,1,2
2021,09.0100,09,Communication & Journalism,5,8,207,56,151,2,8,34,16,0,131,6,8,2
2021,09.0101,09,Communication & Journalism,1,8,95,37,58,0,1,16,14,1,49,9,2,3
2021,09.0101,09,Communication & Journalism,2,6,230,102,128,7,6,29,14,1,145,20,2,6
2021,09.0101,09,Communication & Journalism,3,4,70,27,43,2,0,9,5,0,46,1,2,5
2021,09.0101,09,Communication & Journalism,4,12,479,191,288,4,5,35,20,1,377,19,1,17
2021,09.0101,09,Communication & Journalism,5,13,128,47,81,0,2,14,6,0,94,3,3,6
2021,09.0102,09,Communication & Journalism,2,2,9,4,5,0,0,0,0,0,8,0,0,1
2021,09.0102,09,Communication & Journalism,3,2,43,20,23,0,0,2,6,0,26,2,2,5
2021,09.0102,09,Communication & Journalism,4,2,18,12,6,0,2,1,0,0,14,1,0,0
2021,09.0102,09,Communication & Journalism,5,11,113,45,68,1,1,17,6,2,62,6,9,9
2021,09.0199,09,Communication & Journalism,5,3,7,4,3,0,0,0,0,0,5,0,1,1
2021,09.0401,09,Communication & Journalism,2,1,256,54,202,0,7,10,21,0,203,11,2,2
2021,09.0401,09,Communication & Journalism,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,09.0401,09,Communication & Journalism,4,6,602,169,433,2,13,38,43,1,445,16,5,39
2021,09.0401,09,Communication & Journalism,5,8,28,6,22,0,0,1,0,0,21,0,5,1
2021,09.0402,09,Communication & Journalism,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,09.0402,09,Communication & Journalism,5,2,0,0,0,0,0,0,0,0,0,0,0,0
2021,09.0499,09,Communication & Journalism,5,2,2,1,1,1,0,0,0,0,1,0,0,0
2021,09.0701,09,Communication & Journalism,2,1,32,20,12,0,0,2,1,0,28,1,0,0
2021,09.0701,09,Communication & Journalism,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,09.0701,09,Communication & Journalism,4,1,2,1,1,0,0,0,0,0,2,0,0,0
2021,09.0701,09,Communication & Journalism,5,3,4,4,0,0,0,0,0,0,3,0,0,1
2021,09.0702,09,Communication & Journalism,1,4,9,2,7,0,0,1,1,0,6,0,0,1
2021,09.0702,09,Communication & Journalism,2,2,37,10,27,0,0,2,0,0,33,2,0,0
2021,09.0702,09,Communication & Journalism,4,3,32,14,18,0,0,2,5,0,22,2,0,1
2021,09.0702,09,Communication & Journalism,5,4,12,7,5,0,0,5,1,0,5,0,1,0
2021,09.0900,09,Communication & Journalism,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,09.0900,09,Communication & Journalism,4,4,36,12,24,1,0,4,2,0,27,2,0,0
2021,09.0900,09,Communication & Journalism,5,8,45,9,36,0,2,1,5,0,31,0,4,2
2021,09.0901,09,Communication & Journalism,1,2,32,11,21,1,0,7,3,0,18,1,0,2
2021,09.0901,09,Communication & Journalism,2,1,3,0,3,0,0,0,1,0,1,1,0,0
2021,09.0901,09,Communication & Journalism,3,2,11,4,7,0,0,0,1,0,8,0,2,0
2021,09.0901,09,Communication & Journalism,4,3,23,10,13,0,0,1,0,0,21,0,1,0
2021,09.0901,09,Communication & Journalism,5,6,70,32,38,0,0,8,2,0,51,5,0,4
2021,09.0902,09,Communication & Journalism,1,1,3,0,3,0,0,1,0,0,2,0,0,0
2021,09.0902,09,Communication & Journalism,2,1,14,1,13,0,0,2,0,0,12,0,0,0
2021,09.0902,09,Communication & Journalism,3,2,0,0,0,0,0,0,0,0,0,0,0,0
2021,09.0902,09,Communication & Journalism,4,4,33,4,29,0,0,1,0,0,31,0,1,0
2021,09.0902,09,Communication & Journalism,5,4,21,8,13,0,0,5,0,0,12,2,0,2
2021,09.0903,09,Communication & Journalism,3,1,2,1,1,0,0,0,0,0,2,0,0,0
2021,09.0903,09,Communication & Journalism,4,2,0,0,0,0,0,0,0,0,0,0,0,0
2021,09.0903,09,Communication & Journalism,5,2,38,15,23,1,0,6,1,1,21,0,4,4
2021,09.0904,09,Communication & Journalism,4,1,7,2,5,0,0,0,0,0,6,1,0,0
2021,09.0905,09,Communication & Journalism,5,2,15,3,12,0,0,2,0,0,13,0,0,0
2021,09.0906,09,Communication & Journalism,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,09.0906,09,Communication & Journalism,5,4,15,12,3,0,0,3,0,0,8,1,1,2
2021,09.0907,09,Communication & Journalism,1,1,1,1,0,0,0,0,1,0,0,0,0,0
2021,09.0907,09,Communication & Journalism,5,1,68,5,63,0,0,0,0,0,0,0,0,68
2021,09.0909,09,Communication & Journalism,5,1,18,4,14,0,0,3,1,0,11,1,1,1
2021,09.0999,09,Communication & Journalism,2,1,8,3,5,0,0,2,0,0,6,0,0,0
2021,09.0999,09,Communication & Journalism,4,2,0,0,0,0,0,0,0,0,0,0,0,0
2021,09.0999,09,Communication & Journalism,5,1,1,1,0,0,0,1,0,0,0,0,0,0
2021,09.9999,09,Communication & Journalism,2,1,18,7,11,0,0,1,2,0,12,0,1,2
2021,09.9999,09,Communication & Journalism,5,2,14,6,8,0,0,3,0,0,9,0,2,0
2021,10.0105,10,Communications Technologies,4,1,47,30,17,0,2,0,2,0,35,3,5,0
2021,10.0201,10,Communications Technologies,5,1,7,4,3,0,0,0,0,0,7,0,0,0
2021,10.0202,10,Communications Technologies,2,1,2,1,1,2,0,0,0,0,0,0,0,0
2021,10.0202,10,Communications Technologies,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,10.0202,10,Communications Technologies,5,6,17,11,6,0,0,2,1,0,14,0,0,0
2021,10.0203,10,Communications Technologies,1,1,11,9,2,0,0,4,1,0,6,0,0,0
2021,10.0203,10,Communications Technologies,4,1,1,1,0,0,0,0,0,0,1,0,0,0
2021,10.0203,10,Communications Technologies,5,1,6,5,1,0,0,0,0,0,5,1,0,0
2021,10.0299,10,Communications Technologies,5,1,6,6,0,0,0,0,0,0,4,0,2,0
2021,10.0301,10,Communications Technologies,4,3,28,11,17,1,0,0,1,0,23,2,1,0
2021,10.0301,10,Communications Technologies,5,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,10.0302,10,Communications Technologies,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,10.0302,10,Communications Technologies,4,1,44,15,29,0,1,2,2,0,38,1,0,0
2021,10.0303,10,Communications Technologies,1,1,4,3,1,0,0,0,0,0,3,0,1,0
2021,10.0303,10,Communications Technologies,4,1,6,3,3,1,0,0,0,0,5,0,0,0
2021,10.0303,10,Communications Technologies,5,3,13,8,5,1,0,2,1,0,8,1,0,0
2021,10.0304,10,Communications Technologies,1,3,59,22,37,0,5,4,5,0,43,1,1,0
2021,10.0304,10,Communications Technologies,2,1,10,4,6,0,0,1,0,0,9,0,0,0
2021,10.0304,10,Communications Technologies,4,1,9,6,3,0,0,4,1,0,3,1,0,0
2021,10.0304,10,Communications Technologies,5,4,59,33,26,1,4,3,6,0,39,2,2,2
2021,10.0305,10,Communications Technologies,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,10.0305,10,Communications Technologies,4,1,16,5,11,0,1,0,5,0,10,0,0,0
2021,10.0305,10,Communications Technologies,5,4,7,1,6,0,0,0,0,0,6,1,0,0
2021,11.0101,11,Computer & Information Sciences,1,7,255,209,46,0,9,28,27,4,132,17,17,21
