UNITID,Institution Name,City,State,ZIP,County,Latitude,Longitude,Distance from KC (mi),Tier,Tier Label,Sector,Control,Level,Institution Category,Institution Size,Degree-Granting,Locale,HBCU,Status,CBSA,Website,Address
441496,Aviation Institute of Maintenance-Kansas City,Kansas City,MO,64129,Jackson County,39.049869,-94.498289,5.5,1,Core KC Metro (0-30 mi),"Private for-profit, 2-year",Private for-profit,Two-year,"Nondegree-granting, sub-baccalaureate","Under 1,000",Nondegree-granting,City: Large,No,Active,28140,https://aviationmaintenance.edu/campuses/kansas-city-mo,4100 Raytown Road
178208,Midwestern Baptist Theological Seminary,Kansas City,MO,64118-4697,Clay County,39.185691,-94.573185,5.9,1,Core KC Metro (0-30 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Degree-granting,City: Large,No,Active,28140,https://www.mbts.edu/,5001 N. Oak Trafficway
178518,Nazarene Theological Seminary,Kansas City,MO,64131-1246,Jackson County,39.009265,-94.565781,6.3,1,Core KC Metro (0-30 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, graduate with no undergraduate","Under 1,000",Degree-granting,City: Large,No,Active,28140,www.nts.edu/,1700 E Meyer Blvd
178989,Research College of Nursing,Kansas City,MO,64132,Jackson County,39.006611,-94.556762,6.5,1,Core KC Metro (0-30 mi),"Private for-profit, 4-year or above",Private for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","Under 1,000",Degree-granting,City: Large,No,Active,28140,researchcollege.edu/,2525 E. Meyer Boulevard
178721,Park University,Parkville,MO,64152-3795,Platte County,39.189256,-94.679041,8.2,1,Core KC Metro (0-30 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Degree-granting,Suburb: Large,No,Active,28140,www.park.edu/,8700 NW River Park Dr
177603,Summit Salon Academy Kansas City,Independence,MO,64055,Jackson County,39.079093,-94.426462,8.3,1,Core KC Metro (0-30 mi),"Private for-profit, less-than 2-year",Private for-profit,Less-than-two-year,"Nondegree-granting, sub-baccalaureate","Under 1,000",Nondegree-granting,Suburb: Large,No,Active,28140,www.summitsalonacademykc.com/,815 W 23rd St S
155308,Kansas Christian College,Overland Park,KS,66204-1975,Johnson County,38.994848,-94.666878,8.7,1,Core KC Metro (0-30 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","Under 1,000",Degree-granting,City: Midsize,No,Active,28140,https://www.kansaschristian.edu/,7401 Metcalf
155292,Kansas City Kansas Community College,Kansas City,KS,66112,Wyandotte County,39.121911,-94.748061,9.2,1,Core KC Metro (0-30 mi),"Public, 2-year",Public,Two-year,"Degree-granting, associate and certificates","5,000 - 9,999",Degree-granting,City: Midsize,No,Active,28140,www.kckcc.edu/,7250 State Ave
447999,WellSpring School of Allied Health-Kansas City,Kansas City,MO,64114-3313,Jackson County,38.963226,-94.604997,9.5,1,Core KC Metro (0-30 mi),"Private for-profit, 2-year",Private for-profit,Two-year,"Degree-granting, associate and certificates","Under 1,000",Degree-granting,City: Large,No,Active,28140,www.wellspring.edu/,9140 Ward Pkwy Ste 100
476902,Mitsu Sato Hair Academy,Overland Park,KS,66212-1457,Johnson County,38.964694,-94.670149,10.5,1,Core KC Metro (0-30 mi),"Private for-profit, less-than 2-year",Private for-profit,Less-than-two-year,"Nondegree-granting, sub-baccalaureate","Under 1,000",Nondegree-granting,City: Midsize,No,Active,28140,www.mitsusatohairacademy.com/,9062 Metcalf Avenue
155283,Concorde Career College-Kansas City,Kansas City,MO,64114,Jackson County,38.936103,-94.602584,11.4,1,Core KC Metro (0-30 mi),"Private for-profit, 4-year or above",Private for-profit,Four-year or above,"Degree-granting, not primarily baccalaureate or above","Under 1,000",Degree-granting,City: Large,No,Active,28140,https://www.concorde.edu/campus/kansas-city-missouri,930 Carondelet Drive
476984,Paul Mitchell the School-Overland Park,Overland Park,KS,66212,Johnson County,38.955861,-94.688051,11.5,1,Core KC Metro (0-30 mi),"Private for-profit, less-than 2-year",Private for-profit,Less-than-two-year,"Nondegree-granting, sub-baccalaureate","Under 1,000",Nondegree-granting,City: Midsize,No,Active,28140,paulmitchell.edu/overlandpark,8731 West 95th Street
155636,Ottawa University-Kansas City,Overland Park,KS,66211,Johnson County,38.932055,-94.635461,12.0,1,Core KC Metro (0-30 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","Under 1,000",Degree-granting,City: Midsize,No,Active,28140,www.ottawa.edu/,4370 W. 109th Street Suite 200
454582,Ottawa University-Online,Overland Park,KS,66211,Johnson County,38.932055,-94.635461,12.0,1,Core KC Metro (0-30 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","Under 1,000",Degree-granting,City: Midsize,No,Active,28140,www.ottawa.edu/,"4370 West 109th  Street, Suite 200"
177038,Cleveland University-Kansas City,Overland Park,KS,66210,Johnson County,38.932019,-94.679076,12.8,1,Core KC Metro (0-30 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","Under 1,000",Degree-granting,City: Midsize,No,Active,28140,www.cleveland.edu/,10850 Lowell Avenue
176628,Avila University,Kansas City,MO,64145-1698,Jackson County,38.91339,-94.591758,12.9,1,Core KC Metro (0-30 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Degree-granting,City: Large,No,Active,28140,https://www.avila.edu/,11901 Wornall Rd
179955,William Jewell College,Liberty,MO,64068-1896,Clay County,39.247844,-94.413126,13.5,1,Core KC Metro (0-30 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","Under 1,000",Degree-granting,Suburb: Large,No,Active,28140,https://www.jewell.edu/,500 College Hill
155210,Johnson County Community College,Overland Park,KS,66210-1299,Johnson County,38.924125,-94.727798,14.5,1,Core KC Metro (0-30 mi),"Public, 2-year",Public,Two-year,"Degree-granting, associate and certificates","10,000 - 19,999",Degree-granting,City: Midsize,No,Active,28140,www.jccc.edu/,12345 College Blvd
177302,Pinnacle Career Institute,Kansas City,MO,64153-1151,Platte County,39.301096,-94.684653,15.0,1,Core KC Metro (0-30 mi),"Private for-profit, 2-year",Private for-profit,Two-year,"Degree-granting, associate and certificates","Under 1,000",Degree-granting,City: Large,No,Active,28140,pcitraining.edu/,"11500 N.W. Ambassador, Suite 221"
